audience1|audience2|audience3|audience4|audience5|audience6|audience7|contributor1id|contributor1name|contributor1role|contributor2id|contributor2name|contributor2role|contributor3id|contributor3name|contributor3role|contributor4id|contributor4name|contributor4role|contributor5id|contributor5name|contributor5role|creator1id|creator1name|creator2id|creator2name|format1|language1|licenseCondition1|publicationType1|publicationVersion1|publishDate1|publisher1|publisher2|repoName|resourceIdentifier1|resourceIdentifier2|resourceIdentifier3|source1|source2|subject10key|subject10value|subject11key|subject11value|subject12key|subject12value|subject1key|subject1value|subject2key|subject2value|subject3key|subject3value|subject4key|subject4value|subject5key|subject5value|subject6key|subject6value|subject7key|subject7value|subject8key|subject8value|subject9key|subject9value|title1|title2|title3
students|researchers||||||3000027|Evelyn Téllez Carvajal|asesorTesis|||||||||||||3000026|Ana García Alcántara|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2016-07|INFOTEC Centro de Inestigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/107|||||||||||info:eu-repo/classification/UNESCO/Protección de datos|Protección de datos|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5699|OTRAS ESPECIALIDADES JURÍDICAS|||||||||||Recomendacioes Jurídicas para las instituciones financieras en el tratamiento de las huellas dactilares de sus usuarios en el proceso de verificación de la identificación en las sucursales de México||
researchers|||||||2096067|WILMA TERESA ARELLANO TOLEDO|asesorTesis|||||||||||||3000212|Alvaro Alfonso Mondragón Salas|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2016|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Gestión de Innovación de las Tecnologías de Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/112|||||||||||info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/53|CIENCIAS ECONÓMICAS|info:eu-repo/classification/cti/5311|ORGANIZACIÓN Y DIRECCIÓN DE EMPRESAS|info:eu-repo/classification/cti/531104|ORGANIZACIÓN DE RECURSOS HUMANOS|||||||||||Propuesta para mejorar la cultura organizacional de trabajo de la DGTIC de la SEDESOL|Propuesta de Intervención|
researchers|||||||2180846|ALBERTO ENRIQUE NAVA GARCES|asesorTesis|||||||||||||3000213|Miguel Ángel Camacho Castillo|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2016|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/113|||||||||||info:eu-repo/classification/UNESCO/Control de la comunicación|Control de la comunicación|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5699|OTRAS ESPECIALIDADES JURÍDICAS|||||||||||Dominios de nivel superior para mitigar el fraude electrónico (Phishing) en la banca electrónica por Internet|Solución Estrategica|
researchers|||||||2096067|WILMA TERESA ARELLANO TOLEDO|asesorTesis|||||||||||||3000215|Carlos Agustín Morales Muñoz|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2016|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Dirección Estratégica de las Tecnologías de Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/114|||||||||||info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/59|CIENCIA POLÍTICA|info:eu-repo/classification/cti/5909|ADMINISTRACIÓN PÚBLICA|info:eu-repo/classification/cti/590902|INSTITUCIONES CENTRALES|||||||||||Gobernabilidad de TIC en el Sistema electoral Mexicano: Diseño de un modelo que permita dirigir y controlar las desiciones estratégicas en materia de TIC en los Organismos Electorales del Estado de México|Propuesta de Intervención|
researchers||||||||||||||||||||||3000229|Gil Antonio Ramírez Angulo|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2016|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/123|||||||||||info:eu-repo/classification/UNESCO/Comercio|Comercio|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5699|OTRAS ESPECIALIDADES JURÍDICAS|info:eu-repo/classification/cti/569999|OTRAS|||||||||E-Commerce Terms|Reporte analítico de experiencia laboral|
researchers|||||||927030|JOSÉ ALBERTO REYES RAMÍREZ|asesorTesis|||||||||||||3000232|María Isabel Escoto Velázquez|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2015|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Gestión de Innovación de las Tecnologías de Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/126|||||||||||info:eu-repo/classification/UNESCO/Procesamiento de la información|Procesamiento de la información|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/59|CIENCIA POLÍTICA|info:eu-repo/classification/cti/5904|INSTITUCIONES POLÍTICAS|info:eu-repo/classification/cti/590499|OTRAS|||||||||Diagnóstico y propuesta de mejora en procesos de un sistema de gestión gubernamental: Caso sistema para la evaluación de resultados de los organos de vigilancia y control|Propuesta de intervención|
researchers|||||||2212523|MONICA VELASCO ESTUDILLO|asesorTesis|||||||||||||3000233|Ocatvio Aguirre Lozano|3000234|Félix García Ontiveros|application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2016|NFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Dirección Estratégica de las Tecnologías de Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/127|||||||||||info:eu-repo/classification/UNESCO/Tecnologías de la información|Tecnologías de la información|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/59|CIENCIA POLÍTICA|info:eu-repo/classification/cti/5909|ADMINISTRACIÓN PÚBLICA|info:eu-repo/classification/cti/590901|GESTIÓN ADMINISTRATIVA|||||||||Plataforma universal de gestión para un Gobierno abierto e Inteligente - PUGGAI|Propuesta de solución estratégica|
researchers|||||||2257184|JORGE LUIS ROJAS ARCE|asesorTesis|||||||||||||3000249|Alberto Cigarroa Citalán|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2015|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Dirección Estratégica de las Tecnologías de Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/140|||||||||||info:eu-repo/classification/UNESCO/Gestión de la informacion|Gestión de la informacion|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/59|CIENCIA POLÍTICA|info:eu-repo/classification/cti/5909|ADMINISTRACIÓN PÚBLICA|info:eu-repo/classification/cti/590901|GESTIÓN ADMINISTRATIVA|||||||||Análisis de la Estrategia Digital del Gobierno Federal y presentación de propuestas exitosas que podrían ser desarrolladas e implementadas en nuestro México||
researchers|||||||2302686|OLIVIA ANDREA MENDOZA ENRIQUEZ|asesorTesis|||||||||||||3000250|Rodrigo Alfonso Elizarrarás Herrera|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2016|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/141|||||||||||info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5699|OTRAS ESPECIALIDADES JURÍDICAS|info:eu-repo/classification/cti/569999|OTRAS|||||||||||Efectos Jurídicos del financiamiento colectivo en el ámbito de la propiedad intelectual|Solución estratégica empresarial|
students|researchers|generalPublic|||||2302686|OLIVIA ANDREA MENDOZA ENRIQUEZ|asesorTesis|||||||||||||3000627|Juan Armando Becerra Gutiérrez|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis|info:eu-repo/semantics/publishedVersion|2017|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/147|||||||||||info:eu-repo/classification/Tesauro sobre información y conocimiento/Datos personales|Datos personales|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5699|OTRAS ESPECIALIDADES JURÍDICAS|info:eu-repo/classification/cti/569999|OTRAS|||||||||Guía para el borrado seguro de datos personales|Propuesta de solución empresarial|
