title1,resourceIdentifier1,creator1id,creator1name,contributor1id,contributor1name,contributor1role,contributor2id,contributor2name,contributor2role,format1,language1,licenseCondition1,publicationType1,publicationVersion1,publishDate1,publisher1,publisher2,repoName,,resourceIdentifier2,resourceIdentifier3,source1,source2,subject1key,subject1value,subject2key,subject2value,subject3key,subject3value,subject4key,subject4value,subject5key,subject5value,,title2,title3,,,,,,,,,,,,,,,,,,,,,,,,,,
Recomendacioes Jurídicas para las instituciones financieras en el tratamiento de las huellas dactilares de sus usuarios en el proceso de verificación de la identificación en las sucursales de México,http://infotec.repositorioinstitucional.mx/jspui/handle/1027/107,3000026,Ana García Alcántara,3000027,Evelyn Téllez Carvajal,asesorTesis,,,,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,,2016-07,INFOTEC Centro de Inestigación e Innovación en Tecnologías de la Información y Comunicación,Maestría en Derecho de las Tecnologías de la Información y Comunicación,Repositorio Institucional de INFOTEC,,,,,,info:eu-repo/classification/UNESCO/Protección de datos,Protección de datos,info:eu-repo/classification/cti/5,CIENCIAS SOCIALES,info:eu-repo/classification/cti/56,CIENCIAS JURÍDICAS Y DERECHO,info:eu-repo/classification/cti/5699,OTRAS ESPECIALIDADES JURÍDICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propuesta para mejorar la cultura organizacional de trabajo de la DGTIC de la SEDESOL,http://infotec.repositorioinstitucional.mx/jspui/handle/1027/112,3000212,Alvaro Alfonso Mondragón Salas,2096067,WILMA TERESA ARELLANO TOLEDO,asesorTesis,,,,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,,2016,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,Maestría en Gestión de Innovación de las Tecnologías de Información y Comunicación,Repositorio Institucional de INFOTEC,,,,,,info:eu-repo/classification/cti/5,CIENCIAS SOCIALES,info:eu-repo/classification/cti/53,CIENCIAS ECONÓMICAS,info:eu-repo/classification/cti/5311,ORGANIZACIÓN Y DIRECCIÓN DE EMPRESAS,info:eu-repo/classification/cti/531104,ORGANIZACIÓN DE RECURSOS HUMANOS,,,,Propuesta de Intervención,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominios de nivel superior para mitigar el fraude electrónico (Phishing) en la banca electrónica por Internet,http://infotec.repositorioinstitucional.mx/jspui/handle/1027/113,3000213,Miguel Ángel Camacho Castillo,2180846,ALBERTO ENRIQUE NAVA GARCES,asesorTesis,,,,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,,2016,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,Maestría en Derecho de las Tecnologías de la Información y Comunicación,Repositorio Institucional de INFOTEC,,,,,,info:eu-repo/classification/UNESCO/Control de la comunicación,Control de la comunicación,info:eu-repo/classification/cti/5,CIENCIAS SOCIALES,info:eu-repo/classification/cti/56,CIENCIAS JURÍDICAS Y DERECHO,info:eu-repo/classification/cti/5699,OTRAS ESPECIALIDADES JURÍDICAS,,,,Solución Estrategica,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gobernabilidad de TIC en el Sistema electoral Mexicano: Diseño de un modelo que permita dirigir y controlar las desiciones estratégicas en materia de TIC en los Organismos Electorales del Estado de México,http://infotec.repositorioinstitucional.mx/jspui/handle/1027/114,3000215,Carlos Agustín Morales Muñoz,2096067,WILMA TERESA ARELLANO TOLEDO,asesorTesis,,,,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,,2016,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,Maestría en Dirección Estratégica de las Tecnologías de Información y Comunicación,Repositorio Institucional de INFOTEC,,,,,,info:eu-repo/classification/cti/5,CIENCIAS SOCIALES,info:eu-repo/classification/cti/59,CIENCIA POLÍTICA,info:eu-repo/classification/cti/5909,ADMINISTRACIÓN PÚBLICA,info:eu-repo/classification/cti/590902,INSTITUCIONES CENTRALES,,,,Propuesta de Intervención,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Commerce Terms,http://infotec.repositorioinstitucional.mx/jspui/handle/1027/123,3000229,Gil Antonio Ramírez Angulo,,,,,,,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,,2016,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,Maestría en Derecho de las Tecnologías de la Información y Comunicación,Repositorio Institucional de INFOTEC,,,,,,info:eu-repo/classification/UNESCO/Comercio,Comercio,info:eu-repo/classification/cti/5,CIENCIAS SOCIALES,info:eu-repo/classification/cti/56,CIENCIAS JURÍDICAS Y DERECHO,info:eu-repo/classification/cti/5699,OTRAS ESPECIALIDADES JURÍDICAS,info:eu-repo/classification/cti/569999,OTRAS,,Reporte analítico de experiencia laboral,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagnóstico y propuesta de mejora en procesos de un sistema de gestión gubernamental: Caso sistema para la evaluación de resultados de los organos de vigilancia y control,http://infotec.repositorioinstitucional.mx/jspui/handle/1027/126,3000232,María Isabel Escoto Velázquez,927030,JOSÉ ALBERTO REYES RAMÍREZ,asesorTesis,,,,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,,2015,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,Maestría en Gestión de Innovación de las Tecnologías de Información y Comunicación,Repositorio Institucional de INFOTEC,,,,,,info:eu-repo/classification/UNESCO/Procesamiento de la información,Procesamiento de la información,info:eu-repo/classification/cti/5,CIENCIAS SOCIALES,info:eu-repo/classification/cti/59,CIENCIA POLÍTICA,info:eu-repo/classification/cti/5904,INSTITUCIONES POLÍTICAS,info:eu-repo/classification/cti/590499,OTRAS,,Propuesta de intervención,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plataforma universal de gestión para un Gobierno abierto e Inteligente - PUGGAI,http://infotec.repositorioinstitucional.mx/jspui/handle/1027/127,3000233,Ocatvio Aguirre Lozano,2212523,MONICA VELASCO ESTUDILLO,asesorTesis,,,,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,,2016,NFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,Maestría en Dirección Estratégica de las Tecnologías de Información y Comunicación,Repositorio Institucional de INFOTEC,,,,,,info:eu-repo/classification/UNESCO/Tecnologías de la información,Tecnologías de la información,info:eu-repo/classification/cti/5,CIENCIAS SOCIALES,info:eu-repo/classification/cti/59,CIENCIA POLÍTICA,info:eu-repo/classification/cti/5909,ADMINISTRACIÓN PÚBLICA,info:eu-repo/classification/cti/590901,GESTIÓN ADMINISTRATIVA,,Propuesta de solución estratégica,,,,,,,,,,,,,,,,,,,,,,,,,,,
Análisis de la Estrategia Digital del Gobierno Federal y presentación de propuestas exitosas que podrían ser desarrolladas e implementadas en nuestro México,http://infotec.repositorioinstitucional.mx/jspui/handle/1027/140,3000249,Alberto Cigarroa Citalán,2257184,JORGE LUIS ROJAS ARCE,asesorTesis,,,,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,,2015,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,Maestría en Dirección Estratégica de las Tecnologías de Información y Comunicación,Repositorio Institucional de INFOTEC,,,,,,info:eu-repo/classification/UNESCO/Gestión de la informacion,Gestión de la informacion,info:eu-repo/classification/cti/5,CIENCIAS SOCIALES,info:eu-repo/classification/cti/59,CIENCIA POLÍTICA,info:eu-repo/classification/cti/5909,ADMINISTRACIÓN PÚBLICA,info:eu-repo/classification/cti/590901,GESTIÓN ADMINISTRATIVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efectos Jurídicos del financiamiento colectivo en el ámbito de la propiedad intelectual,http://infotec.repositorioinstitucional.mx/jspui/handle/1027/141,3000250,Rodrigo Alfonso Elizarrarás Herrera,2302686,OLIVIA ANDREA MENDOZA ENRIQUEZ,asesorTesis,,,,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,,2016,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,Maestría en Derecho de las Tecnologías de la Información y Comunicación,Repositorio Institucional de INFOTEC,,,,,,info:eu-repo/classification/cti/5,CIENCIAS SOCIALES,info:eu-repo/classification/cti/56,CIENCIAS JURÍDICAS Y DERECHO,info:eu-repo/classification/cti/5699,OTRAS ESPECIALIDADES JURÍDICAS,info:eu-repo/classification/cti/569999,OTRAS,,,,Solución estratégica empresarial,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guía para el borrado seguro de datos personales,http://infotec.repositorioinstitucional.mx/jspui/handle/1027/147,3000627,Juan Armando Becerra Gutiérrez,2302686,OLIVIA ANDREA MENDOZA ENRIQUEZ,asesorTesis,,,,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/publishedVersion,2017,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,Maestría en Derecho de las Tecnologías de la Información y Comunicación,Repositorio Institucional de INFOTEC,,,,,,info:eu-repo/classification/Tesauro sobre información y conocimiento/Datos personales,Datos personales,info:eu-repo/classification/cti/5,CIENCIAS SOCIALES,info:eu-repo/classification/cti/56,CIENCIAS JURÍDICAS Y DERECHO,info:eu-repo/classification/cti/5699,OTRAS ESPECIALIDADES JURÍDICAS,info:eu-repo/classification/cti/569999,OTRAS,,Propuesta de solución empresarial,,,,,,,,,,,,,,,,,,,,,,,,,,,
