audience1,audience2,audience3,audience4,contributor1id,contributor1name,contributor1role,contributor2id,contributor2name,contributor2role,contributor3id,contributor3name,contributor3role,contributor4id,contributor4name,contributor4role,creator1id,creator1name,format1,language1,licenseCondition1,publicationType1,publicationVersion1,publishDate1,publisher1,publisher2,repoName,resourceIdentifier1,resourceIdentifier2,source1,source2,subject10key,subject10value,subject11key,subject11value,subject12key,subject12value,subject13key,subject13value,subject14key,subject14value,subject15key,subject15value,subject16key,subject16value,subject17key,subject17value,subject18key,subject18value,subject19key,subject19value,subject1key,subject1value,subject20key,subject20value,subject2key,subject2value,subject3key,subject3value,subject4key,subject4value,subject5key,subject5value,subject6key,subject6value,subject7key,subject7value,subject8key,subject8value,subject9key,subject9value,title1
generalPublic,,,,2074220,LEONARDO CHAPA VARGAS,director,,,,,,,,,,819049,GABRIELA GARCIA MARMOLEJO,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,,2013-11,,,Repositorio IPICYT,http://ipicyt.repositorioinstitucional.mx/jspui/handle/1010/333,http://ipicyt.repositorioinstitucional.mx/jspui/handle/1010/628,,,info:eu-repo/classification/cti/510205,HÁBITAT,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/Autor/Cambio de uso de suelo,Cambio de uso de suelo,,,info:eu-repo/classification/Autor/Conservación,Conservación,info:eu-repo/classification/Autor/Criterio de Información de Akaike,Criterio de Información de Akaike,info:eu-repo/classification/Autor/Estadios sucesionales,Estadios sucesionales,info:eu-repo/classification/Autor/Maxent,Maxent,info:eu-repo/classification/Autor/Ungulados,Ungulados,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5102,ETNOGRAFÍA Y ETNOLOGÍA,Adecuación uso y manejo del hábitat de artiodáctilos silvestres en bosque tropical caducifolio secundario en la Huasteca Potosina México
students,researchers,,,3000612,Víctor Manuel Ortiz Aguirre,director,,,,,,,,,,807486,Nadia Marlene Rosas Chávez,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2016-09-13,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/42,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Identidad Sexual,Identidad Sexual,,,info:eu-repo/classification/LEMB/Transexualismo,Transexualismo,info:eu-repo/classification/LEMB/Homosexualidad,Homosexualidad,info:eu-repo/classification/LEMB/Cambio de Sexo,Cambio de Sexo,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/61,PSICOLOGÍA,info:eu-repo/classification/cti/6114,PSICOLOGÍA SOCIAL,info:eu-repo/classification/cti/611407,CULTURA Y PERSONALIDAD,,,"Y todos me miran me miran" : experiencias de chicas trans en Colima
students,researchers,,,3000574,José de Jesús Hernández López,director,,,,,,,,,,3000573,Andrea Tatiana Martínez Pacheco,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2016-11-15,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/59,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Geografía Humana -- Castañal Bolívar Colombia,Geografía Humana -- Castañal Bolívar Colombia,,,info:eu-repo/classification/LEMB/Antropología Cultural y Social -- Castañal Bolívar Colombia,Antropología Cultural y Social -- Castañal Bolívar Colombia,info:eu-repo/classification/LEMB/Castañal Bolívar Colombia -- Condiciones Sociales,Castañal Bolívar Colombia -- Condiciones Sociales,info:eu-repo/classification/LEMB/Castañal Bolívar Colombia -- Condiciones Económicas -- 1991-2016,Castañal Bolívar Colombia -- Condiciones Económicas -- 1991-2016,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5103,ANTROPOLOGÍA SOCIAL,info:eu-repo/classification/cti/510399,OTRAS,,,Cultura anfibia : relaciones socioproductivas saberes locales y paisajes estacionales en Castañal Bolívar Colombia 1991 a 2016
students,researchers,,,,,,,,,,,,,,,3013825,Josué Arfata Piñón Bravo,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2017-03-22,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/153,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Educación -- Zamora Michoacán -- Siglo XX,Educación -- Zamora Michoacán -- Siglo XX,,,info:eu-repo/classification/LEMB/Sindicatos de Maestros -- Zamora Michoacán -- Historia -- Siglo XX,Sindicatos de Maestros -- Zamora Michoacán -- Historia -- Siglo XX,info:eu-repo/classification/LEMB/Maestros -- Zamora Michoacán -- Actividad Politica -- Historia -- Siglo XX,Maestros -- Zamora Michoacán -- Actividad Politica -- Historia -- Siglo XX,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/58,PEDAGOGÍA,info:eu-repo/classification/cti/5899,OTRAS ESPECIALIDADES PEDAGÓGICAS,info:eu-repo/classification/cti/589999,OTRAS,,,,,Entre la educación y la insurgencia social : impacto y reconfiguración socioterritorial del movimiento magisterial en la región Zamora 1989-2010
students,researchers,,,3000614,Esteban Barragán López,director,,,,,,,,,,3000656,Eduardo Ponce,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2016-09-30,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/184,,,,info:eu-repo/classification/LEMB/San Antonio Limón Totalco Veracruz -- Condiciones Económicas,San Antonio Limón Totalco Veracruz -- Condiciones Económicas,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,info:eu-repo/classification/cti/510114,TRADICIÓN,,,,,,,,,,,info:eu-repo/classification/LEMB/Urbanismo -- Michoacán -- Zamora,Urbanismo -- Michoacán -- Zamora,,,info:eu-repo/classification/LEMB/Desarrollo Urbano -- Michoacán -- Zamora,Desarrollo Urbano -- Michoacán -- Zamora,info:eu-repo/classification/LEMB/Asentamientos Humanos -- Michoacán -- Zamora,Asentamientos Humanos -- Michoacán -- Zamora,info:eu-repo/classification/LEMB/Artesanos -- Chilchota Michoacán de Ocampo,Artesanos -- Chilchota Michoacán de Ocampo,info:eu-repo/classification/LEMB/Artesanos -- San Antonio Limón Totalco Veracruz,Artesanos -- San Antonio Limón Totalco Veracruz,info:eu-repo/classification/LEMB/Artesanías Naturales -- México,Artesanías Naturales -- México,info:eu-repo/classification/LEMB/Manufacturas -- San Antonio Limón Totalco Veracruz,Manufacturas -- San Antonio Limón Totalco Veracruz,info:eu-repo/classification/LEMB/Manufacturas -- Chilchota Michoacán de Ocampo,Manufacturas -- Chilchota Michoacán de Ocampo,info:eu-repo/classification/LEMB/Chilchota Michoacán de Ocampo -- Condiciones Económicas,Chilchota Michoacán de Ocampo -- Condiciones Económicas,Pueblos "azaharosos" : la injertación de la manufactura artesanal azaharera en San Antonio Limón Totalco Ver. y Chilchota Mich. 1940-2014
students,researchers,,,3000106,Agustin Jacinto Zavala,director,,,,,,,,,,3000345,Manuel Alejandro Gembe Sánchez,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2016-04-28,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/162,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Psicología Social,Psicología Social,,,info:eu-repo/classification/LEMB/Purépechas -- Vida Social y Costumbres,Purépechas -- Vida Social y Costumbres,info:eu-repo/classification/LEMB/Género (Identidad),Género (Identidad),info:eu-repo/classification/LEMB/Roles Sexuales -- Aspectos Morales y Éticos,Roles Sexuales -- Aspectos Morales y Éticos,info:eu-repo/classification/LEMB/Cherán Michoacán -- Vida Social y Costumbres,Cherán Michoacán -- Vida Social y Costumbres,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/61,PSICOLOGÍA,info:eu-repo/classification/cti/6114,PSICOLOGÍA SOCIAL,info:eu-repo/classification/cti/630202,PSICOLOGÍA SOCIAL,Re-configuraciones de género en un pueblo urbanizado de la meseta purhépecha
students,researchers,,,,,,,,,,,,,,,3013835,José Gabriel Domínguez Reyes,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2016-03-06,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/165,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Polanco Carrera Cevallos y Bustillos Francisco Obispo de San Cristóbal de las Casas Chiapas,Polanco Carrera Cevallos y Bustillos Francisco Obispo de San Cristóbal de las Casas Chiapas,,,info:eu-repo/classification/LEMB/Iglesia Católica. -- Diócesis de San Cristóbal de las Casas -- Historia -- Siglo XVIII,Iglesia Católica. -- Diócesis de San Cristóbal de las Casas -- Historia -- Siglo XVIII,info:eu-repo/classification/LEMB/Iglesia y Estado -- México -- Historia,Iglesia y Estado -- México -- Historia,info:eu-repo/classification/LEMB/Iglesia y Estado -- España -- Historia,Iglesia y Estado -- España -- Historia,info:eu-repo/classification/LEMB/Chiapas -- Historia -- Siglo XVIII,Chiapas -- Historia -- Siglo XVIII,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,info:eu-repo/classification/cti/510110,RELIGIÓN,El bienestar de la Iglesia y el Estado : la gestión episcopal de Francisco Polanco obispo de Chiapas (1777-1784)
students,researchers,,,,,,,,,,,,,,,3013841,Ricardo Campos,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2017-01-27,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/169,,,,info:eu-repo/classification/cti/510103,DANZAS FIESTAS,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Carnaval -- Puebla,Carnaval -- Puebla,,,info:eu-repo/classification/LEMB/Máscaras -- Puebla,Máscaras -- Puebla,info:eu-repo/classification/LEMB/Indumentaria -- Puebla,Indumentaria -- Puebla,info:eu-repo/classification/LEMB/Música -- Puebla,Música -- Puebla,info:eu-repo/classification/LEMB/Indios de México -- Identidad Étnica,Indios de México -- Identidad Étnica,info:eu-repo/classification/LEMB/Puebla -- Vida Social y Costumbres,Puebla -- Vida Social y Costumbres,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,Entre máscaras y cumbias : cambio y transformación en la práctica carnavalera de los barrios de la ciudad de Puebla
students,researchers,,,,,,,,,,,,,,,3013849,Carla Guadalupe Vargas Torices,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2017-03-11,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/179,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Danza como Terapia,Danza como Terapia,,,info:eu-repo/classification/LEMB/Presos -- Educación,Presos -- Educación,info:eu-repo/classification/LEMB/Lenguaje Corporal,Lenguaje Corporal,info:eu-repo/classification/LEMB/Psicología en Prisiones,Psicología en Prisiones,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/61,PSICOLOGÍA,info:eu-repo/classification/cti/6103,ASESORAMIENTO Y ORIENTACIÓN,info:eu-repo/classification/cti/610308,REHABILITACIÓN,,,Del carcelazo al cuidado de sí : espiritualidades de presos en Uruapan Michoacán
students,researchers,,,,,,,,,,,,,,,3013837,Yolanda Guzmán Guzmán,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2016-06-01,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/181,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Mercedarios,Mercedarios,,,info:eu-repo/classification/LEMB/Monasticismo y Ordenes Religiosas,Monasticismo y Ordenes Religiosas,info:eu-repo/classification/LEMB/Mercedarios -- México -- Historia,Mercedarios -- México -- Historia,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,info:eu-repo/classification/cti/510110,RELIGIÓN,,,,,La Orden de Nuestra Señora de la Merced entre reformas 1574-1692 : el convento de Valladolid y los obispos mercedarios de Michoacán
