Title,File Name,Repo_name,creator,identifier,Date,language_correcto,Grado,Centro,Programa,Publisher,Subject Conacyt,Subject Conacyt 2,Tema - Especialización,Subject,Audience 1,Audience 2
Reforma laboral y control sindical en el periodo de alternancia electoral: el caso del sindicato minero,2008_campillo_ba.pdf,2008_campillo_ba.pdf,"Campillo Carrete, Beatriz A",1582,2008,spa,Licenciado en Administración Pública,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Sindicato Nacional de Trabajadores Mineros Metalúrgicos y Similares de la República Mexicana,Researchers,Students
"Crisis y reforma fiscal en el Perú, 1873-1915, del estado rentista al estado oligárquico",2009_contreras_ca.pdf,2009_contreras_ca.pdf,"Contreras Carranza, Carlos",1655,2009,spa,Doctor en Historia,Centro de Estudios Históricos,,El Colegio de México A.C.,4,,,Oligarquía,Researchers,Students
El papel de las restricciones crediticias en la movilidad económica intergeneracional en México: una prueba indirecta,2012_ramos_ja.pdf,2012_ramos_ja.pdf,"Ramos Pastrana, Julio Alberto",2007,2012,spa,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Crédito,Researchers,Students
El yihad islámico en el imaginario social,2008_linan_r.pdf,,"Liñán Ramírez, Roberto",1559,2008,spa,Maestro en Estudios de Asia y África,Centro de Estudios de Asia y África,,El Colegio de México A.C.,5,,Medio Oriente,Guerra,Researchers,Students
El poder suave y la diplomacia cultural de la República Popular China: el caso del Instituto Confucio de la UNAM,2013_magana_p.pdf,2013_magana_p.pdf,"Magaña Huerta, Priscila",2380,2013,spa,Maestro en Estudios de Asia y África,Centro de Estudios de Asia y África,,El Colegio de México A.C.,4,,China,Universidad Nacional Autónoma de México,Researchers,Students
Efectos clientela y tasas de interés en el mercado de bonos del gobierno mexicano,2013_roldan_ak.pdf,2013_roldan_ak.pdf,"Roldán Contreras, Ana Karen",1950,2013,spa,,,,El Colegio de México A.C.,,,,,Researchers,Students
La traducción de en e y en la versión española de l'amant de Marguerite Duras,2014_arzola_a.pdf,2014_arzola_a.pdf,"Arzola Ordoñez, Abraham",1980,2014,spa,,,,El Colegio de México A.C.,,,,,Researchers,Students
"Comercio, mercados y circuitos pecuarios en el nuevo reino de Granada y la audiencia de Quito, 1580-1715",2015_castano_yj.pdf,,"Castaño Pareja, Yoer Javier",2117,2015,spa,,,,El Colegio de México A.C.,,,,,Researchers,Students
Perfil de competencias del bibliotecario de control de autoridades de nombres personales: el caso del sistema de bibliotecas de la Universidad Autónoma de San Luis Potosí,2011_alarcon_d.pdf,2011_alarcon_d.pdf,"Alarcón Gutiérrez, Daniela",1405,2011,spa,Maestro en Bibliotecología,Biblioteca Daniel Cosío Villegas,Programa de Maestría en Bibliotecología,El Colegio de México A.C.,4,,,Universidad Autónoma de San Luis Potosí (México),Researchers,Students
La Comisión de Cooperación Ecológica Fronteriza: una institución innovadora en el marco de la cooperación entre México y Estados Unidos,2006_perez_m.pdf,2006_perez_m.pdf,"Pérez Villaseñor, Margarita",1101,2006,spa,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Comisión de Cooperación Ecológica Fronteriza,Researchers,Students
"Instituciones políticas, competencia electoral y desempeño de gobierno: Un estudio comparado de 152 municipios urbanos de México",2004_ibarra_jf.pdf,2004_ibarra_jf.pdf,"Ibarra del Cueto, Juan Fernando",1200,2004,spa,Licenciado en Administración Pública,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Elecciones locales,Researchers,Students
